,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cal_3,cal_3,cal_3,cal_2,cal_2,cal_2,right_foot,right_foot,right_foot,left_foot,left_foot,left_foot,left_shank,left_shank,left_shank,left_thigh,left_thigh,left_thigh,upper_trunk,upper_trunk,upper_trunk,mid_trunk,mid_trunk,mid_trunk,cal_1,cal_1,cal_1,right_thigh,right_thigh,right_thigh,lower_trunk,lower_trunk,lower_trunk,right_shank,right_shank,right_shank,right_arm,right_arm,right_arm,right_forearm,right_forearm,right_forearm,left_forearm,left_forearm,left_forearm,head,head,head,left_hand,left_hand,left_hand,right_arm,right_arm,right_arm
,,"8392B20CF49E35701F9","8392B20CF49E35701F9","8392B20CF49E35701F9","8392B20CF49E35701FB","8392B20CF49E35701FB","8392B20CF49E35701FB","8392B20CF49E3570450","8392B20CF49E3570450","8392B20CF49E3570450","8392B20CF49E357045A","8392B20CF49E357045A","8392B20CF49E357045A","8392B20CF49E3570472","8392B20CF49E3570472","8392B20CF49E3570472","8392B20CF49E3570475","8392B20CF49E3570475","8392B20CF49E3570475","8392B20CF49E357047A","8392B20CF49E357047A","8392B20CF49E357047A","8392B20CF49E3570483","8392B20CF49E3570483","8392B20CF49E3570483","8392B20CF49E3570485","8392B20CF49E3570485","8392B20CF49E3570485","8392B20CF49E35704B0","8392B20CF49E35704B0","8392B20CF49E35704B0","8392B20CF49E35704B7","8392B20CF49E35704B7","8392B20CF49E35704B7","8392B20CF49E35704B9","8392B20CF49E35704B9","8392B20CF49E35704B9","8392B20CF49E35704C3","8392B20CF49E35704C3","8392B20CF49E35704C3","8392B20CF49E35704C6","8392B20CF49E35704C6","8392B20CF49E35704C6","8392B20CF49E35704C8","8392B20CF49E35704C8","8392B20CF49E35704C8","8392B20CF49E35704CA","8392B20CF49E35704CA","8392B20CF49E35704CA","8392B20CF49E35704D0","8392B20CF49E35704D0","8392B20CF49E35704D0","8392B20CF49E35704D2","8392B20CF49E35704D2","8392B20CF49E35704D2"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.050000,0.010110,0.070275,0.409556,0.009902,0.070323,0.009904,0.074524,0.178075,0.851354,0.076564,0.166164,0.649562,0.068679,0.354144,0.651377,0.090683,0.716579,0.667746,0.091873,1.529741,0.747414,0.057830,1.334653,0.747038,0.310149,0.070405,0.011583,0.096431,0.732466,0.875538,0.061213,1.159948,0.731962,0.072301,0.362443,0.873218,0.143576,1.343428,0.996397,0.188671,1.064314,1.058576,0.166656,1.055984,0.486307,0.131638,1.718427,0.733064,0.156227,0.874821,0.500641,0.195237,0.862564,1.023899
7,0.058333,0.010118,0.070272,0.409569,0.009902,0.070324,0.009910,0.074525,0.178071,0.851352,0.076562,0.166174,0.649581,0.068662,0.354156,0.651435,0.090688,0.716605,0.667780,0.091930,1.529765,0.747428,0.057880,1.334656,0.747090,0.310153,0.070419,0.011583,0.096433,0.732463,0.875560,0.061241,1.159974,0.732040,0.072280,0.362452,0.873243,0.143613,1.343433,0.996445,0.188715,1.064340,1.058683,0.166701,1.055955,0.486430,0.131699,1.718446,0.733085,0.156236,0.874816,0.500762,0.195256,0.862613,1.024080
8,0.066667,0.010122,0.070274,0.409563,0.009902,0.070336,0.009913,0.074523,0.178084,0.851379,0.076555,0.166173,0.649591,0.068643,0.354159,0.651457,0.090695,0.716620,0.667800,0.092011,1.529743,0.747412,0.057946,1.334648,0.747156,0.310150,0.070417,0.011585,0.096430,0.732488,0.875580,0.061282,1.159977,0.732095,0.072263,0.362458,0.873259,0.143648,1.343451,0.996515,0.188759,1.064368,1.058761,0.166749,1.055927,0.486545,0.131759,1.718458,0.733098,0.156261,0.874792,0.500880,0.195302,0.862638,1.024216
9,0.075000,0.010123,0.070274,0.409563,0.009912,0.070332,0.009906,0.074523,0.178077,0.851370,0.076567,0.166178,0.649586,0.068627,0.354157,0.651458,0.090706,0.716629,0.667820,0.092071,1.529750,0.747453,0.058021,1.334646,0.747164,0.310159,0.070412,0.011595,0.096431,0.732506,0.875600,0.061334,1.159993,0.732130,0.072242,0.362461,0.873285,0.143698,1.343462,0.996563,0.188798,1.064414,1.058846,0.166824,1.055880,0.486655,0.131804,1.718455,0.733134,0.156294,0.874767,0.501006,0.195343,0.862672,1.024336
10,0.083333,0.010137,0.070280,0.409566,0.009919,0.070335,0.009911,0.074531,0.178071,0.851360,0.076571,0.166186,0.649576,0.068635,0.354167,0.651464,0.090708,0.716652,0.667821,0.092124,1.529754,0.747496,0.058098,1.334636,0.747181,0.310163,0.070420,0.011586,0.096435,0.732532,0.875635,0.061416,1.159983,0.732133,0.072238,0.362466,0.873305,0.143760,1.343486,0.996601,0.188839,1.064454,1.058915,0.166913,1.055839,0.486750,0.131863,1.718427,0.733204,0.156326,0.874764,0.501117,0.195391,0.862695,1.024444
11,0.091667,0.010136,0.070298,0.409555,0.009920,0.070343,0.009903,0.074536,0.178073,0.851356,0.076588,0.166199,0.649559,0.068647,0.354169,0.651438,0.090710,0.716659,0.667830,0.092202,1.529737,0.747515,0.058184,1.334620,0.747199,0.310162,0.070429,0.011589,0.096430,0.732557,0.875669,0.061491,1.159974,0.732143,0.072225,0.362466,0.873325,0.143817,1.343520,0.996639,0.188887,1.064490,1.058976,0.167001,1.055798,0.486837,0.131909,1.718421,0.733237,0.156367,0.874722,0.501245,0.195438,0.862717,1.024543
12,0.100000,0.010147,0.070299,0.409558,0.009923,0.070339,0.009907,0.074538,0.178082,0.851350,0.076603,0.166201,0.649547,0.068656,0.354172,0.651453,0.090720,0.716676,0.667853,0.092224,1.529782,0.747601,0.058269,1.334620,0.747218,0.310171,0.070437,0.011590,0.096436,0.732566,0.875703,0.061569,1.159974,0.732169,0.072232,0.362468,0.873331,0.143882,1.343560,0.996655,0.188933,1.064549,1.059075,0.167091,1.055740,0.486927,0.131955,1.718413,0.733308,0.156417,0.874689,0.501360,0.195489,0.862737,1.024626
13,0.108333,0.010152,0.070304,0.409558,0.009923,0.070343,0.009902,0.074547,0.178085,0.851349,0.076607,0.166207,0.649543,0.068670,0.354169,0.651456,0.090723,0.716686,0.667870,0.092296,1.529783,0.747661,0.058342,1.334620,0.747274,0.310170,0.070423,0.011585,0.096423,0.732575,0.875744,0.061659,1.159965,0.732202,0.072228,0.362461,0.873318,0.143958,1.343601,0.996679,0.188982,1.064589,1.059163,0.167169,1.055691,0.487036,0.132003,1.718419,0.733386,0.156458,0.874653,0.501471,0.197284,0.860955,1.020868
14,0.116667,0.010152,0.070301,0.409557,0.009922,0.070342,0.009906,0.074539,0.178074,0.851341,0.076603,0.166198,0.649554,0.068677,0.354177,0.651466,0.090724,0.716679,0.667889,0.092355,1.529796,0.747708,0.058411,1.334619,0.747319,0.310175,0.070427,0.011589,0.096409,0.732580,0.875787,0.061750,1.159952,0.732252,0.072218,0.362465,0.873333,0.144004,1.343641,0.996707,0.189035,1.064634,1.059248,0.167222,1.055629,0.487161,0.132055,1.718414,0.733452,0.156524,0.874573,0.501593,0.195541,0.862814,1.024774
15,0.125000,0.010146,0.070287,0.409556,0.009919,0.070345,0.009906,0.074536,0.178078,0.851352,0.076595,0.166200,0.649569,0.068682,0.354188,0.651489,0.090737,0.716680,0.667934,0.092397,1.529833,0.747810,0.058480,1.334625,0.747416,0.310176,0.070427,0.011586,0.096396,0.732583,0.875850,0.061838,1.159947,0.732317,0.072223,0.362460,0.873356,0.144085,1.343682,0.996730,0.189096,1.064681,1.059304,0.167274,1.055556,0.487290,0.132115,1.718432,0.733548,0.156596,0.874484,0.501721,0.195547,0.862856,1.024835
