,,R_Arm,R_Arm,R_Arm,R_Shoulder,R_Shoulder,R_Shoulder,R_Forearm,R_Forearm,R_Forearm,R_Wrist,R_Wrist,R_Wrist
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
46,0.383333,0.910136,1.347115,0.987492,0.867818,1.510114,1.070798,0.819389,1.174449,0.851723,0.747507,1.110231,0.773876
47,0.391667,0.909801,1.34725,0.986395,0.867651,1.509964,1.069958,0.817227,1.176671,0.851721,0.743083,1.114108,0.774449
48,0.4,0.909517,1.347153,0.985437,0.867539,1.509922,1.069138,0.814933,1.17903,0.851713,0.738806,1.118244,0.775143
49,0.408333,0.90936,1.347301,0.98442,0.867378,1.509873,1.068459,0.812809,1.181524,0.851869,0.734378,1.122703,0.775984
50,0.416667,0.909193,1.347605,0.983375,0.867255,1.509977,1.067567,0.810694,1.184101,0.852018,0.73014,1.127257,0.776991
51,0.425,0.908933,1.347692,0.982456,0.867152,1.509754,1.066942,0.808479,1.18681,0.852359,0.725745,1.13205,0.778074
52,0.433333,0.908701,1.347906,0.981647,0.867095,1.50964,1.066228,0.806452,1.189642,0.852721,0.721333,1.137119,0.779346
53,0.441667,0.90845,1.348157,0.98064,0.867027,1.509549,1.065638,0.804358,1.192705,0.853113,0.717238,1.142437,0.78071
54,0.45,0.908165,1.348482,0.979629,0.866969,1.509468,1.064944,0.802387,1.195787,0.853598,0.713094,1.148037,0.782235
55,0.458333,0.907767,1.348623,0.978657,0.866896,1.509411,1.064324,0.80063,1.199033,0.854142,0.70902,1.15378,0.784031
56,0.466667,0.907479,1.348911,0.97773,0.866697,1.509415,1.063398,0.798901,1.202528,0.854717,0.705117,1.159928,0.785937
57,0.475,0.907195,1.349126,0.976661,0.866532,1.509404,1.062786,0.797115,1.206001,0.855421,0.701203,1.16637,0.788043
58,0.483333,0.906861,1.349345,0.975626,0.866424,1.50942,1.062171,0.795601,1.209595,0.856202,0.69739,1.173093,0.790425
59,0.491667,0.906652,1.34963,0.974737,0.866257,1.509339,1.061404,0.793806,1.213456,0.857138,0.693704,1.179792,0.792814
60,0.5,0.906455,1.349993,0.973674,0.866158,1.509346,1.060881,0.792089,1.21744,0.858179,0.690137,1.186653,0.795411
61,0.508333,0.906188,1.350359,0.972833,0.866084,1.509337,1.060259,0.790533,1.221307,0.859253,0.68669,1.193613,0.798199
62,0.516667,0.905839,1.3506,0.971777,0.866066,1.509321,1.059867,0.788821,1.225335,0.860515,0.683438,1.200755,0.801078
63,0.525,0.905474,1.351029,0.97073,0.865834,1.509324,1.059104,0.787483,1.229405,0.861708,0.680442,1.20793,0.804083
64,0.533333,0.904971,1.351449,0.969839,0.865709,1.509287,1.058525,0.786186,1.233431,0.86287,0.677565,1.21526,0.807371
65,0.541667,0.904334,1.351678,0.968802,0.865612,1.509233,1.058043,0.785082,1.237504,0.864198,0.675132,1.222615,0.810643
66,0.55,0.903814,1.352097,0.967833,0.865517,1.509199,1.057596,0.784174,1.241388,0.865449,0.672787,1.229802,0.81401
67,0.558333,0.903295,1.352417,0.966693,0.865438,1.509184,1.057069,0.783082,1.245336,0.866772,0.670893,1.236897,0.817373
68,0.566667,0.902904,1.35272,0.965814,0.865343,1.509187,1.05666,0.782294,1.249208,0.868125,0.669172,1.243809,0.820773
69,0.575,0.902646,1.353089,0.964952,0.865257,1.509215,1.056225,0.781608,1.252871,0.869372,0.667813,1.25039,0.824082
70,0.583333,0.902399,1.353544,0.964007,0.865204,1.509234,1.055821,0.781014,1.256342,0.870573,0.666428,1.256542,0.82732
71,0.591667,0.902146,1.353786,0.963173,0.865046,1.509338,1.055261,0.780573,1.25975,0.871729,0.665426,1.262534,0.830481
