,,R_Arm,R_Arm,R_Arm,R_Shoulder,R_Shoulder,R_Shoulder,R_Forearm,R_Forearm,R_Forearm,R_Wrist,R_Wrist,R_Wrist
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
202,1.683333,1.039947,1.337857,0.911129,0.986155,1.501827,0.98805,1.005981,1.114243,0.78782,0.971685,1.015014,0.723941
203,1.691667,1.038401,1.337732,0.906834,0.985627,1.501696,0.984293,1.002149,1.114236,0.784097,0.96637,1.015338,0.720629
204,1.7,1.036846,1.337498,0.902368,0.985052,1.501532,0.980452,0.998007,1.114322,0.780266,0.960749,1.015726,0.717215
205,1.708333,1.035166,1.337176,0.897865,0.984332,1.501319,0.976592,0.993669,1.114415,0.776452,0.954964,1.016133,0.713789
206,1.716667,1.033271,1.336897,0.893332,0.983531,1.50116,0.972779,0.989182,1.11443,0.772554,0.948876,1.016587,0.710361
207,1.725,1.03129,1.336676,0.888807,0.982603,1.500837,0.968854,0.984507,1.114589,0.768647,0.94255,1.017063,0.706836
208,1.733333,1.029122,1.336314,0.884278,0.981595,1.500521,0.965006,0.97965,1.114651,0.764682,0.936057,1.017582,0.703462
209,1.741667,1.026707,1.335782,0.879891,0.980421,1.50033,0.961071,0.974497,1.11495,0.760712,0.929339,1.018173,0.700108
210,1.75,1.023823,1.335235,0.875907,0.979176,1.499936,0.957251,0.969222,1.115209,0.756778,0.922396,1.018853,0.696774
211,1.758333,1.021094,1.335024,0.871338,0.977883,1.49978,0.953459,0.963776,1.115419,0.752852,0.915348,1.019627,0.693435
212,1.766667,1.018217,1.334786,0.866665,0.976313,1.499476,0.94943,0.958168,1.115843,0.749009,0.908066,1.02052,0.690211
213,1.775,1.015343,1.334666,0.861931,0.974831,1.499283,0.945593,0.952404,1.116312,0.745143,0.900705,1.021463,0.687013
214,1.783333,1.012263,1.334437,0.857248,0.973221,1.499005,0.941738,0.946488,1.116827,0.741324,0.893201,1.022506,0.683832
215,1.791667,1.009124,1.334282,0.852641,0.971472,1.498706,0.937784,0.940466,1.117385,0.737534,0.885512,1.023658,0.68073
216,1.8,1.005884,1.334186,0.847956,0.969654,1.498555,0.933898,0.934454,1.117994,0.733696,0.877823,1.024814,0.677683
217,1.808333,1.00246,1.333926,0.843464,0.967705,1.49813,0.93017,0.928346,1.118512,0.729977,0.870017,1.025992,0.674643
218,1.816667,0.998997,1.333734,0.838909,0.965659,1.498173,0.925973,0.922152,1.119197,0.726275,0.862037,1.027354,0.671807
219,1.825,0.99529,1.333595,0.834356,0.963442,1.497926,0.921855,0.915809,1.119928,0.722541,0.854041,1.028654,0.668946
220,1.833333,0.991545,1.333539,0.829737,0.961211,1.497914,0.917832,0.909401,1.120652,0.719,0.845949,1.030045,0.666286
221,1.841667,0.987672,1.333372,0.82516,0.958684,1.49777,0.913667,0.902948,1.121451,0.71546,0.837714,1.031484,0.663754
222,1.85,0.983689,1.333503,0.820181,0.95613,1.497794,0.909629,0.896286,1.122363,0.711996,0.829469,1.032983,0.661354
223,1.858333,0.979304,1.333602,0.815013,0.953528,1.497693,0.905701,0.889482,1.123356,0.708678,0.821123,1.034651,0.659054
224,1.866667,0.974986,1.333821,0.810501,0.950658,1.497872,0.901569,0.882658,1.124434,0.705401,0.812849,1.036428,0.656847
225,1.875,0.970603,1.333874,0.806134,0.947739,1.498002,0.897561,0.875839,1.125594,0.702324,0.804462,1.038184,0.654783
226,1.883333,0.966122,1.334295,0.801713,0.94469,1.498076,0.893712,0.868912,1.126725,0.699241,0.79596,1.040068,0.652857
227,1.891667,0.961578,1.334572,0.797428,0.941553,1.498374,0.889829,0.861819,1.128099,0.696249,0.787545,1.041852,0.650841
228,1.9,0.956863,1.335004,0.793146,0.938309,1.498568,0.886183,0.854838,1.129387,0.693315,0.779051,1.043978,0.649111
229,1.908333,0.952009,1.335474,0.788931,0.935205,1.498917,0.882481,0.847721,1.130767,0.690478,0.770604,1.046018,0.647461
230,1.916667,0.947154,1.33616,0.784716,0.932063,1.499587,0.878784,0.840582,1.132278,0.687711,0.762194,1.048086,0.645925
231,1.925,0.942275,1.336946,0.780631,0.928928,1.500355,0.875061,0.833262,1.13377,0.685147,0.753891,1.050214,0.644474
232,1.933333,0.937299,1.337894,0.776643,0.925767,1.501227,0.871427,0.82605,1.1355,0.682598,0.745505,1.052375,0.643293
233,1.941667,0.932282,1.338964,0.772613,0.922512,1.501951,0.867859,0.818672,1.137216,0.680135,0.737144,1.054524,0.64216
234,1.95,0.927221,1.340157,0.7685,0.919279,1.502845,0.864085,0.811501,1.139031,0.677889,0.72882,1.056762,0.641177
235,1.958333,0.92211,1.341309,0.764321,0.915881,1.503755,0.860355,0.804233,1.140781,0.675589,0.720347,1.058951,0.640388
236,1.966667,0.916987,1.342394,0.760112,0.912255,1.504589,0.856532,0.796967,1.142545,0.673428,0.711903,1.06121,0.639794
237,1.975,0.911783,1.343353,0.755909,0.908387,1.505139,0.852823,0.789586,1.14423,0.671282,0.70334,1.063455,0.639304
238,1.983333,0.906546,1.344293,0.751616,0.904595,1.505612,0.849172,0.782178,1.145911,0.669167,0.694795,1.065662,0.638988
239,1.991667,0.901127,1.345166,0.747433,0.90055,1.506078,0.845613,0.774702,1.14747,0.667314,0.686281,1.067861,0.638826
240,2,0.895538,1.345887,0.743315,0.896389,1.506561,0.841865,0.76721,1.14899,0.665352,0.677762,1.069932,0.638719
241,2.008333,0.889786,1.346618,0.739235,0.892437,1.507035,0.838119,0.759694,1.150535,0.663528,0.669354,1.071916,0.638673
242,2.016667,0.883863,1.347287,0.735207,0.888298,1.507259,0.834479,0.752081,1.15195,0.661861,0.660926,1.073775,0.638725
243,2.025,0.877807,1.347948,0.731282,0.884155,1.507329,0.831114,0.744481,1.153236,0.66025,0.652542,1.075562,0.638951
244,2.033333,0.871723,1.348468,0.727509,0.880036,1.507498,0.827686,0.736891,1.154516,0.658677,0.644207,1.077219,0.639149
245,2.041667,0.865305,1.348977,0.723937,0.875946,1.507757,0.823796,0.729278,1.155685,0.657203,0.635842,1.078756,0.639532
246,2.05,0.859047,1.349548,0.720358,0.871911,1.507862,0.820388,0.721615,1.156709,0.655841,0.62758,1.080259,0.640047
247,2.058333,0.852702,1.350095,0.717053,0.86799,1.508158,0.81686,0.713905,1.157785,0.654714,0.619308,1.081682,0.64077
248,2.066667,0.846429,1.350728,0.713709,0.863824,1.508447,0.813317,0.706213,1.158927,0.653775,0.611081,1.08308,0.641628
249,2.075,0.840032,1.351334,0.710494,0.859628,1.508658,0.809855,0.698491,1.160012,0.652999,0.602948,1.084464,0.642718
250,2.083333,0.833665,1.352105,0.707391,0.855326,1.508801,0.806712,0.690796,1.161095,0.652416,0.594913,1.08579,0.644002
251,2.091667,0.827287,1.352697,0.704481,0.850957,1.50924,0.803351,0.683109,1.162168,0.651987,0.58696,1.087133,0.645454
252,2.1,0.82098,1.353324,0.70157,0.846618,1.509532,0.80035,0.675541,1.16323,0.651651,0.579077,1.08837,0.647127
253,2.108333,0.814651,1.354012,0.698855,0.841892,1.509906,0.797039,0.6679,1.164283,0.65161,0.571164,1.08961,0.648982
254,2.116667,0.808207,1.354601,0.696307,0.837585,1.510361,0.794159,0.660409,1.165276,0.651618,0.563404,1.090884,0.651056
255,2.125,0.80183,1.355187,0.693751,0.833198,1.510746,0.791253,0.652933,1.166326,0.651786,0.555727,1.092184,0.653369
256,2.133333,0.79539,1.355811,0.69139,0.828715,1.511093,0.788276,0.645405,1.167396,0.652214,0.548237,1.093373,0.655796
257,2.141667,0.788847,1.356325,0.68901,0.824319,1.511296,0.785605,0.637947,1.168345,0.65283,0.540766,1.094488,0.658434
258,2.15,0.782247,1.356812,0.686791,0.819791,1.51166,0.782612,0.630546,1.169359,0.653581,0.533303,1.095654,0.661283
259,2.158333,0.775611,1.357264,0.684607,0.815073,1.511456,0.779956,0.62303,1.170246,0.65447,0.525898,1.096756,0.664287
260,2.166667,0.768821,1.357669,0.682562,0.810123,1.511707,0.777073,0.615647,1.171151,0.655515,0.518618,1.097868,0.667463
261,2.175,0.762015,1.358072,0.680566,0.805383,1.511964,0.7744,0.608295,1.172093,0.65677,0.511376,1.098885,0.670833
262,2.183333,0.754983,1.358436,0.678647,0.800664,1.51262,0.771711,0.601048,1.1729,0.65815,0.504227,1.099847,0.674372
263,2.191667,0.748019,1.358729,0.676907,0.795731,1.512963,0.769254,0.593697,1.173555,0.659628,0.49713,1.100845,0.678091
264,2.2,0.740811,1.359078,0.675319,0.790596,1.513212,0.766791,0.586267,1.17421,0.661276,0.490069,1.101754,0.681978
265,2.208333,0.733635,1.359346,0.673824,0.785289,1.513346,0.764443,0.579016,1.174778,0.663001,0.483152,1.102627,0.685919
266,2.216667,0.72631,1.359596,0.672617,0.779814,1.513555,0.762168,0.571686,1.175314,0.664966,0.476274,1.103388,0.690231
267,2.225,0.718911,1.359815,0.671504,0.774253,1.513772,0.759932,0.564449,1.175879,0.667098,0.469561,1.103925,0.695021
268,2.233333,0.711438,1.360018,0.670523,0.768564,1.513849,0.757876,0.557145,1.176382,0.669638,0.462866,1.10451,0.699653
269,2.241667,0.703881,1.360229,0.669729,0.762469,1.513781,0.756078,0.549889,1.176779,0.67246,0.45629,1.104995,0.704478
270,2.25,0.696309,1.360402,0.669098,0.756616,1.51395,0.754279,0.542683,1.177182,0.675223,0.449785,1.105463,0.709467
271,2.258333,0.688647,1.36061,0.66866,0.750745,1.51399,0.752612,0.535449,1.177504,0.678161,0.443389,1.105851,0.714651
272,2.266667,0.681057,1.360743,0.668436,0.744793,1.514029,0.751187,0.5283,1.177842,0.681246,0.437067,1.10622,0.719886
273,2.275,0.67337,1.36094,0.668481,0.738845,1.514031,0.749877,0.521203,1.178179,0.68448,0.430827,1.106559,0.725296
274,2.283333,0.665764,1.361095,0.668564,0.732892,1.514175,0.748639,0.514134,1.178445,0.687871,0.424749,1.106615,0.730946
275,2.291667,0.658121,1.361228,0.668938,0.727003,1.514161,0.747609,0.507131,1.178684,0.691414,0.418585,1.107059,0.736485
276,2.3,0.650526,1.361396,0.669521,0.721153,1.51405,0.74665,0.500231,1.178947,0.695124,0.41272,1.107344,0.74231
277,2.308333,0.643025,1.361444,0.670211,0.715287,1.513977,0.745794,0.493377,1.179254,0.699024,0.407039,1.107665,0.748255
278,2.316667,0.635582,1.361574,0.671003,0.709512,1.513831,0.745015,0.48661,1.179417,0.703034,0.40145,1.107865,0.754376
279,2.325,0.628165,1.361637,0.671946,0.703763,1.513693,0.744327,0.47991,1.17964,0.707278,0.395984,1.108123,0.760658
280,2.333333,0.620866,1.361718,0.672944,0.698027,1.513625,0.743737,0.47338,1.179882,0.711568,0.390777,1.108387,0.767049
281,2.341667,0.613521,1.361766,0.674159,0.692413,1.513589,0.743066,0.466908,1.180062,0.716108,0.385624,1.108735,0.773536
282,2.35,0.606222,1.361785,0.675527,0.687213,1.513723,0.742035,0.460424,1.180104,0.720971,0.380676,1.108991,0.780127
283,2.358333,0.599005,1.36183,0.67699,0.681475,1.513545,0.741799,0.454198,1.180341,0.725798,0.375878,1.109299,0.786835
284,2.366667,0.591839,1.361829,0.678604,0.675691,1.513324,0.741553,0.448091,1.180599,0.730747,0.371228,1.109695,0.793654
285,2.375,0.584779,1.361781,0.680391,0.669959,1.513194,0.741538,0.442129,1.180812,0.73579,0.366623,1.110086,0.800527
286,2.383333,0.577714,1.361735,0.682283,0.664295,1.51302,0.741419,0.436339,1.181015,0.740998,0.362134,1.110474,0.807554
287,2.391667,0.570773,1.361675,0.684347,0.658569,1.513016,0.741075,0.430564,1.181212,0.746263,0.357864,1.110872,0.814579
288,2.4,0.563851,1.361633,0.686579,0.653074,1.512751,0.741386,0.424888,1.181511,0.751555,0.353681,1.111392,0.821681
289,2.408333,0.557004,1.361586,0.688874,0.647319,1.512609,0.742111,0.419102,1.181994,0.756925,0.3496,1.111947,0.828824
290,2.416667,0.550277,1.361502,0.691456,0.641908,1.512457,0.741938,0.413508,1.182384,0.762642,0.345836,1.112336,0.836215
291,2.425,0.543645,1.361382,0.694101,0.636462,1.512324,0.742143,0.408641,1.182371,0.768554,0.342333,1.11271,0.843528
292,2.433333,0.537053,1.361306,0.696918,0.630938,1.512211,0.742526,0.403775,1.182417,0.774568,0.339382,1.112818,0.851241
293,2.441667,0.530555,1.361249,0.699794,0.625525,1.512073,0.743004,0.399097,1.182456,0.780653,0.336253,1.113301,0.858854
294,2.45,0.52414,1.361196,0.702823,0.620124,1.511964,0.743614,0.394427,1.182707,0.786838,0.333237,1.113881,0.866823
295,2.458333,0.51763,1.361054,0.706106,0.614772,1.511829,0.744283,0.389878,1.182965,0.793041,0.33056,1.11423,0.874433
296,2.466667,0.511458,1.360864,0.709347,0.609495,1.511651,0.745056,0.385529,1.183228,0.799431,0.328055,1.114589,0.882128
297,2.475,0.505347,1.360831,0.712622,0.604279,1.511498,0.745865,0.381355,1.183483,0.805906,0.325672,1.115121,0.890187
298,2.483333,0.499339,1.360768,0.716002,0.599166,1.511319,0.746747,0.377292,1.183762,0.812548,0.323548,1.115727,0.898158
299,2.491667,0.493383,1.360754,0.71962,0.594116,1.511136,0.747666,0.373423,1.184099,0.819312,0.321534,1.116269,0.906256
300,2.5,0.487517,1.360708,0.72346,0.589087,1.510985,0.748672,0.369738,1.184425,0.826166,0.319808,1.116895,0.914394
301,2.508333,0.481863,1.360692,0.727352,0.584132,1.510875,0.749711,0.366308,1.184801,0.833093,0.318254,1.117473,0.922627
302,2.516667,0.476352,1.360727,0.731523,0.579182,1.510775,0.750761,0.363011,1.185228,0.840214,0.31694,1.118163,0.930908
303,2.525,0.471104,1.360713,0.735703,0.574247,1.510751,0.75194,0.35994,1.185604,0.847224,0.315864,1.118861,0.939149
304,2.533333,0.4661,1.360464,0.740071,0.569427,1.510798,0.753173,0.357097,1.186015,0.854415,0.314973,1.1195,0.947357
305,2.541667,0.46108,1.360486,0.744414,0.564638,1.510876,0.754466,0.354377,1.186474,0.861574,0.314291,1.120226,0.95568
306,2.55,0.456143,1.360624,0.748769,0.55988,1.511099,0.755856,0.351966,1.186993,0.868904,0.313894,1.12101,0.963943
307,2.558333,0.451475,1.360754,0.753162,0.555074,1.511416,0.757297,0.34976,1.187515,0.876322,0.31376,1.121759,0.972322
308,2.566667,0.446825,1.361109,0.757717,0.550382,1.511765,0.758925,0.347711,1.18824,0.883776,0.314044,1.122354,0.980037
309,2.575,0.442356,1.3614,0.762402,0.545589,1.512215,0.760685,0.345957,1.188961,0.891449,0.314162,1.123582,0.988896
310,2.583333,0.438029,1.361843,0.767272,0.541,1.512635,0.762632,0.344393,1.189903,0.898989,0.314738,1.124492,0.997206
311,2.591667,0.433781,1.362388,0.772375,0.536544,1.513049,0.764832,0.343036,1.190748,0.906198,0.315613,1.125499,1.005558
312,2.6,0.429725,1.362985,0.777548,0.532257,1.513443,0.76719,0.341916,1.191706,0.913873,0.316617,1.126601,1.013928
313,2.608333,0.425832,1.363465,0.782997,0.528288,1.51371,0.769827,0.341142,1.192582,0.921671,0.317948,1.127787,1.022227
314,2.616667,0.422249,1.364035,0.788456,0.524486,1.513923,0.772666,0.340581,1.193295,0.929278,0.319344,1.129157,1.030685
315,2.625,0.418897,1.364544,0.794149,0.520962,1.514139,0.77556,0.340113,1.194146,0.936988,0.320983,1.130731,1.039155
316,2.633333,0.415837,1.364995,0.799828,0.517499,1.514303,0.77855,0.339795,1.195179,0.944918,0.322798,1.131873,1.047597
317,2.641667,0.413062,1.365599,0.805595,0.514341,1.514434,0.781563,0.339702,1.196413,0.952308,0.32501,1.133662,1.056192
318,2.65,0.410559,1.36606,0.811487,0.511286,1.514626,0.784696,0.339967,1.19755,0.960618,0.327791,1.134703,1.064293
319,2.658333,0.408278,1.366621,0.817551,0.508514,1.514703,0.78779,0.340289,1.198946,0.968603,0.33034,1.136009,1.072385
320,2.666667,0.406305,1.367175,0.823614,0.505787,1.514996,0.791036,0.341028,1.200044,0.976449,0.33317,1.136895,1.080431
321,2.675,0.404495,1.367738,0.82974,0.503329,1.515139,0.794425,0.342541,1.201195,0.984079,0.336301,1.138191,1.088466
322,2.683333,0.402984,1.368213,0.83588,0.500958,1.515474,0.797947,0.344067,1.201573,0.991751,0.339874,1.139434,1.096401
323,2.691667,0.401606,1.36881,0.842117,0.498755,1.515757,0.801561,0.345665,1.202602,0.999453,0.343695,1.140821,1.104447
324,2.7,0.400433,1.369357,0.84828,0.496871,1.515931,0.805289,0.347586,1.203678,1.007135,0.347867,1.142169,1.112244
325,2.708333,0.399414,1.369877,0.85456,0.494984,1.516249,0.809182,0.349818,1.204828,1.014803,0.352287,1.143602,1.120061
326,2.716667,0.398587,1.370369,0.860884,0.493238,1.516589,0.813175,0.352338,1.205897,1.022352,0.357019,1.144966,1.127785
327,2.725,0.397932,1.370766,0.867104,0.49163,1.516756,0.817244,0.35511,1.207015,1.029966,0.362026,1.146508,1.135506
328,2.733333,0.397495,1.371193,0.873495,0.490095,1.516881,0.821695,0.358051,1.208015,1.037417,0.367343,1.147891,1.142989
329,2.741667,0.397293,1.37154,0.879858,0.488817,1.517014,0.826098,0.361265,1.209069,1.04495,0.373305,1.148851,1.150453
330,2.75,0.397326,1.371876,0.886422,0.487841,1.517131,0.830509,0.364829,1.210038,1.052464,0.379332,1.149995,1.157693
331,2.758333,0.397525,1.372238,0.892999,0.486901,1.51736,0.835,0.368671,1.210992,1.059987,0.385261,1.151343,1.165057
332,2.766667,0.39797,1.372544,0.899629,0.486307,1.517384,0.839617,0.372655,1.211864,1.067486,0.391619,1.152474,1.172315
333,2.775,0.398724,1.372882,0.906291,0.485864,1.517529,0.844359,0.377048,1.212709,1.074908,0.39822,1.153691,1.179474
334,2.783333,0.399651,1.373282,0.913359,0.485627,1.517632,0.849118,0.381664,1.213638,1.082387,0.405139,1.154782,1.186516
335,2.791667,0.400746,1.373868,0.920139,0.485671,1.517603,0.853931,0.386598,1.214309,1.089759,0.412333,1.155761,1.193553
336,2.8,0.401933,1.374453,0.927542,0.485868,1.517715,0.858715,0.391786,1.214917,1.09704,0.419755,1.156466,1.200258
337,2.808333,0.403685,1.374724,0.934631,0.486258,1.517558,0.863461,0.397256,1.215448,1.104483,0.427437,1.157103,1.207022
338,2.816667,0.4057,1.374991,0.941536,0.486876,1.517621,0.868249,0.403033,1.216041,1.111776,0.43554,1.157808,1.213529
339,2.825,0.407624,1.375337,0.947785,0.487749,1.517431,0.87307,0.409048,1.21663,1.119013,0.443784,1.158398,1.220116
340,2.833333,0.412054,1.374389,0.954828,0.488767,1.51736,0.877792,0.415424,1.217029,1.126352,0.452298,1.158824,1.226627
341,2.841667,0.415013,1.374585,0.961581,0.490029,1.517088,0.882607,0.422108,1.217546,1.133608,0.461083,1.159221,1.232999
342,2.85,0.418283,1.374917,0.968453,0.491477,1.516968,0.887266,0.429081,1.217818,1.140804,0.470117,1.159528,1.239265
343,2.858333,0.421825,1.375056,0.975189,0.493165,1.516633,0.892055,0.436233,1.21842,1.147795,0.479471,1.159871,1.245395
344,2.866667,0.425613,1.375307,0.981947,0.494982,1.516452,0.896684,0.443696,1.218564,1.154512,0.489099,1.160142,1.251378
345,2.875,0.429737,1.375495,0.98861,0.497041,1.516063,0.901339,0.451542,1.218802,1.161396,0.499013,1.160337,1.25706
346,2.883333,0.434065,1.375656,0.995253,0.499266,1.515694,0.905985,0.45959,1.219164,1.167985,0.508904,1.160623,1.262776
347,2.891667,0.43861,1.375664,1.001706,0.501655,1.515479,0.910419,0.467927,1.21936,1.174428,0.519116,1.160854,1.268189
348,2.9,0.44338,1.375773,1.008111,0.504136,1.515258,0.914621,0.476477,1.219664,1.180748,0.529472,1.161129,1.273295
349,2.908333,0.448372,1.375818,1.014351,0.506962,1.514718,0.919454,0.48515,1.219965,1.18681,0.540088,1.161317,1.278311
350,2.916667,0.45356,1.375811,1.020492,0.509812,1.51428,0.923765,0.494615,1.219805,1.192963,0.550852,1.161576,1.283142
351,2.925,0.458936,1.375774,1.026403,0.512821,1.513738,0.927978,0.503479,1.220251,1.198555,0.561787,1.161831,1.287713
352,2.933333,0.464369,1.375628,1.032309,0.515896,1.51319,0.932203,0.512643,1.220587,1.203989,0.572909,1.16214,1.292061
353,2.941667,0.470027,1.375404,1.03798,0.519101,1.512592,0.936307,0.522154,1.220704,1.209194,0.584228,1.162476,1.296167
354,2.95,0.475765,1.375215,1.043615,0.52232,1.512208,0.940422,0.531813,1.220962,1.214253,0.595698,1.162855,1.300003
355,2.958333,0.481737,1.374964,1.048953,0.525699,1.511641,0.944495,0.54165,1.221211,1.219092,0.607289,1.163213,1.303547
356,2.966667,0.487731,1.374735,1.054272,0.529158,1.511068,0.948373,0.551628,1.221369,1.223684,0.618979,1.163621,1.30688
357,2.975,0.493853,1.374501,1.059452,0.532697,1.510603,0.952304,0.561655,1.221563,1.227959,0.63069,1.163989,1.309949
358,2.983333,0.500256,1.37429,1.064391,0.536263,1.510316,0.95623,0.571871,1.221747,1.232054,0.642511,1.164272,1.312689
359,2.991667,0.50652,1.374218,1.069106,0.539991,1.510184,0.960188,0.582261,1.221859,1.235779,0.654486,1.164551,1.315176
360,3,0.513086,1.374115,1.073759,0.543654,1.510006,0.963954,0.592554,1.222087,1.239358,0.66646,1.164722,1.317407
361,3.008333,0.519662,1.374052,1.078547,0.547356,1.50989,0.967793,0.603032,1.222226,1.242696,0.67843,1.165057,1.319352
362,3.016667,0.526354,1.373976,1.083099,0.550982,1.51003,0.971819,0.613564,1.22236,1.245801,0.690723,1.165244,1.320947
363,3.025,0.533144,1.373861,1.087737,0.554853,1.509941,0.975768,0.624128,1.222444,1.248697,0.702997,1.165535,1.322317
364,3.033333,0.539935,1.3737,1.092157,0.55873,1.509835,0.979721,0.634799,1.222916,1.251126,0.715253,1.165785,1.323443
365,3.041667,0.546631,1.373545,1.096635,0.56273,1.509631,0.983763,0.645477,1.222945,1.253592,0.727547,1.166022,1.32424
366,3.05,0.55357,1.373292,1.10095,0.566762,1.509545,0.987689,0.656129,1.223051,1.255957,0.739916,1.166244,1.324674
367,3.058333,0.560537,1.373064,1.1051,0.570843,1.509368,0.991483,0.666838,1.223141,1.25798,0.752212,1.166416,1.32486
368,3.066667,0.56761,1.372869,1.109141,0.57488,1.509366,0.995366,0.67759,1.223231,1.25975,0.764511,1.166638,1.324772
369,3.075,0.57475,1.372766,1.11317,0.579085,1.509253,0.999264,0.68838,1.22351,1.261365,0.776711,1.16682,1.324561
370,3.083333,0.582102,1.372829,1.116985,0.583487,1.508972,1.002947,0.69922,1.223544,1.262714,0.788819,1.167064,1.323999
371,3.091667,0.589441,1.372701,1.120845,0.588173,1.508466,1.006836,0.710006,1.2237,1.263913,0.800981,1.167269,1.323218
372,3.1,0.596844,1.372511,1.124548,0.592659,1.508224,1.010575,0.720755,1.223723,1.264947,0.813048,1.16751,1.32232
373,3.108333,0.60437,1.372241,1.128112,0.597293,1.507883,1.014259,0.731442,1.223806,1.265833,0.825171,1.167706,1.321126
374,3.116667,0.611851,1.371966,1.13172,0.602007,1.507537,1.018039,0.742068,1.22382,1.266565,0.837156,1.167955,1.319696
375,3.125,0.619373,1.371683,1.135174,0.606784,1.507315,1.021774,0.752844,1.223759,1.267089,0.849096,1.168165,1.318046
376,3.133333,0.626977,1.371361,1.138593,0.61161,1.506968,1.025452,0.763436,1.223764,1.267457,0.861,1.16831,1.316102
377,3.141667,0.634578,1.371032,1.141749,0.61653,1.506687,1.029086,0.774027,1.223711,1.267647,0.872701,1.168434,1.314075
378,3.15,0.642215,1.370718,1.144902,0.621568,1.506344,1.032623,0.784612,1.22358,1.267582,0.884376,1.168517,1.311793
379,3.158333,0.649987,1.370426,1.147814,0.626634,1.506017,1.036157,0.795129,1.223498,1.267365,0.89591,1.168577,1.309331
380,3.166667,0.657735,1.370114,1.15079,0.631693,1.505736,1.039655,0.805631,1.22334,1.26696,0.907316,1.168603,1.306764
381,3.175,0.665547,1.369757,1.153475,0.636996,1.505415,1.042981,0.816008,1.223252,1.266403,0.918629,1.168597,1.303976
382,3.183333,0.674168,1.369399,1.156376,0.642244,1.505224,1.046371,0.82633,1.223176,1.265696,0.929822,1.168587,1.301023
383,3.191667,0.682058,1.369146,1.158765,0.647675,1.50501,1.049624,0.836624,1.22302,1.264773,0.940891,1.168519,1.297882
384,3.2,0.689995,1.369141,1.161124,0.653072,1.50497,1.052842,0.846916,1.222941,1.263656,0.95185,1.168557,1.294567
385,3.208333,0.697828,1.368984,1.163066,0.658616,1.50491,1.05596,0.857128,1.222896,1.262345,0.962747,1.168591,1.291003
386,3.216667,0.705752,1.368893,1.165022,0.664208,1.504899,1.058905,0.867339,1.222765,1.260845,0.973507,1.168565,1.287263
387,3.225,0.713863,1.368767,1.166815,0.669977,1.504842,1.061825,0.877387,1.222784,1.259182,0.984258,1.168515,1.283265
388,3.233333,0.722036,1.368638,1.168477,0.675772,1.504656,1.064516,0.887452,1.222732,1.257329,0.994776,1.168555,1.279115
389,3.241667,0.730153,1.368533,1.170055,0.681592,1.504722,1.067283,0.897399,1.222714,1.255288,1.005256,1.16861,1.27469
390,3.25,0.738266,1.368453,1.17152,0.687479,1.504787,1.070004,0.907309,1.222601,1.253073,1.015688,1.168482,1.270114
391,3.258333,0.74643,1.368409,1.172821,0.693512,1.504786,1.072577,0.91722,1.222571,1.250677,1.025964,1.168509,1.265375
392,3.266667,0.754659,1.368393,1.173984,0.699312,1.504952,1.075051,0.926943,1.222477,1.248163,1.036044,1.168416,1.260403
393,3.275,0.762925,1.368305,1.175077,0.705246,1.505078,1.077548,0.936598,1.222374,1.245453,1.046018,1.168424,1.255256
394,3.283333,0.77123,1.368332,1.175997,0.711111,1.50535,1.08002,0.946237,1.222396,1.242509,1.055867,1.168451,1.250012
395,3.291667,0.779534,1.368361,1.176868,0.717049,1.505629,1.082461,0.955785,1.222367,1.239474,1.065819,1.168497,1.244475
396,3.3,0.787849,1.368321,1.177548,0.722966,1.5058,1.084729,0.965322,1.222373,1.236192,1.075345,1.168482,1.238903
397,3.308333,0.796125,1.368387,1.178152,0.729925,1.505223,1.086872,0.975056,1.222278,1.232659,1.084886,1.168434,1.232973
398,3.316667,0.804418,1.368437,1.17863,0.736406,1.505093,1.08885,0.984203,1.222149,1.22921,1.094246,1.168343,1.226886
399,3.325,0.812828,1.368408,1.178927,0.742644,1.505138,1.090618,0.993646,1.222129,1.225403,1.103519,1.168244,1.220694
400,3.333333,0.821227,1.368426,1.179156,0.749068,1.505198,1.092443,1.003016,1.222115,1.221438,1.112708,1.168127,1.214168
401,3.341667,0.829667,1.368442,1.179214,0.755514,1.50518,1.094279,1.012341,1.222093,1.21734,1.121801,1.167981,1.207498
402,3.35,0.838132,1.368532,1.179174,0.762121,1.50525,1.095956,1.021674,1.222012,1.212976,1.130768,1.167964,1.200529
403,3.358333,0.846697,1.368609,1.178906,0.768676,1.505386,1.097553,1.031079,1.22205,1.208474,1.139647,1.167661,1.193559
404,3.366667,0.855347,1.368713,1.178472,0.775339,1.505502,1.098989,1.040379,1.222223,1.203598,1.148376,1.16739,1.186599
405,3.375,0.864055,1.368888,1.177838,0.782076,1.505561,1.100285,1.049442,1.222117,1.198762,1.156966,1.166958,1.179298
406,3.383333,0.872785,1.369124,1.176916,0.788813,1.505729,1.101463,1.058558,1.222004,1.193769,1.165481,1.166603,1.171747
407,3.391667,0.881507,1.36946,1.175882,0.795641,1.505867,1.102432,1.067616,1.221979,1.188508,1.17385,1.166245,1.164046
408,3.4,0.890241,1.369747,1.174505,0.802905,1.506036,1.103309,1.076596,1.221992,1.18293,1.182063,1.165907,1.156137
409,3.408333,0.899285,1.370118,1.172827,0.809586,1.506382,1.103939,1.085587,1.222047,1.177681,1.190125,1.165578,1.148072
