,,R_Foot,R_Foot,R_Foot,L_Foot,L_Foot,L_Foot,Lower_Trunk,Lower_Trunk,Lower_Trunk,R_Thigh,R_Thigh,R_Thigh,R_Shank,R_Shank,R_Shank,Mid_Trunk,Mid_Trunk,Mid_Trunk,L_Shank,L_Shank,L_Shank,R_Forearm,R_Forearm,R_Forearm,R_Hand,R_Hand,R_Hand,L_Hand,L_Hand,L_Hand,R_Arm,R_Arm,R_Arm,Upper_Trunk,Upper_Trunk,Upper_Trunk,Head,Head,Head,L_Forearm,L_Forearm,L_Forearm,L_Arm,L_Arm,L_Arm,L_Thigh,L_Thigh,L_Thigh
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.091667,0.071419,0.181796,0.858014,0.079893,0.166483,0.645798,0.053688,1.168067,0.708714,0.087383,0.728357,0.868819,0.073244,0.363539,0.871862,0.052323,1.339347,0.726729,0.073305,0.35451,0.641501,0.177953,1.053327,0.992282,0.23718,0.889956,1.004928,0.229134,0.911307,0.48217,0.110454,1.337543,0.950668,0.087023,1.531869,0.742552,0.129023,1.718825,0.709766,0.177645,1.081788,0.507946,0.113964,1.34572,0.55163,0.091527,0.717902,0.655319
12,0.1,0.07141,0.181805,0.858016,0.07989,0.166489,0.645801,0.053733,1.168055,0.70869,0.087405,0.728358,0.868795,0.073258,0.363534,0.871853,0.052355,1.339354,0.726704,0.073307,0.35451,0.641478,0.178026,1.053345,0.992222,0.237211,0.889957,1.004901,0.22919,0.911285,0.482164,0.110522,1.337587,0.950678,0.087057,1.531864,0.742511,0.129105,1.718835,0.709653,0.177668,1.081759,0.507915,0.113988,1.345659,0.551653,0.091545,0.717897,0.655298
13,0.108333,0.071416,0.181805,0.858009,0.0799,0.166482,0.645791,0.05377,1.168047,0.708655,0.087423,0.728369,0.868792,0.073269,0.363534,0.871847,0.052377,1.339345,0.726691,0.073324,0.354507,0.641468,0.178081,1.053362,0.992175,0.237246,0.889966,1.004889,0.229259,0.911248,0.482178,0.110603,1.337632,0.950666,0.0871,1.531861,0.742462,0.129203,1.71885,0.709519,0.177715,1.08173,0.507907,0.113984,1.345631,0.551612,0.091588,0.717877,0.655289
14,0.116667,0.071417,0.181809,0.858005,0.079891,0.166466,0.645802,0.053805,1.168048,0.708638,0.08745,0.728377,0.868776,0.073273,0.363534,0.871836,0.052401,1.339342,0.726692,0.073334,0.354507,0.641456,0.178112,1.053412,0.992215,0.237288,0.889988,1.00487,0.229318,0.911232,0.482209,0.110676,1.337674,0.950655,0.087151,1.531868,0.742424,0.129295,1.718856,0.70943,0.177758,1.081704,0.507922,0.113986,1.345598,0.551623,0.091597,0.717867,0.65527
15,0.125,0.07141,0.181813,0.858004,0.07989,0.166467,0.645798,0.053838,1.168036,0.708631,0.087475,0.728371,0.868772,0.073274,0.363544,0.871835,0.052415,1.339342,0.726699,0.073345,0.354503,0.641449,0.178151,1.053443,0.992228,0.237314,0.890002,1.004854,0.229364,0.911203,0.482241,0.110735,1.337711,0.950665,0.087186,1.531878,0.742449,0.129379,1.718856,0.709318,0.177797,1.081673,0.50795,0.113988,1.345572,0.551629,0.091629,0.717856,0.655253
16,0.133333,0.07142,0.181809,0.858013,0.079883,0.166462,0.645801,0.053865,1.168039,0.708627,0.087495,0.728381,0.868776,0.073283,0.363553,0.871832,0.052417,1.339337,0.726701,0.073361,0.354501,0.641435,0.178175,1.053483,0.992264,0.237352,0.890017,1.004827,0.229403,0.911186,0.482264,0.110784,1.337738,0.950665,0.087214,1.531874,0.742428,0.129454,1.718856,0.709241,0.177823,1.081669,0.507995,0.113985,1.345564,0.551629,0.091651,0.717853,0.655241
17,0.141667,0.071424,0.181799,0.85802,0.079884,0.166489,0.645798,0.053891,1.168026,0.70863,0.087522,0.728363,0.868754,0.073301,0.363548,0.871836,0.052425,1.339344,0.726724,0.073369,0.354511,0.64142,0.178219,1.053499,0.992266,0.237393,0.890038,1.004834,0.229443,0.911164,0.48228,0.110847,1.337766,0.950661,0.087241,1.531875,0.74241,0.129534,1.718855,0.709179,0.177837,1.081648,0.508036,0.113987,1.345554,0.551624,0.091669,0.717847,0.655234
18,0.15,0.071419,0.181805,0.858028,0.07989,0.166482,0.645798,0.053902,1.168026,0.70864,0.087554,0.728363,0.868748,0.073316,0.363547,0.871834,0.052445,1.339343,0.72671,0.07339,0.354517,0.64143,0.178259,1.053502,0.992254,0.237419,0.890043,1.004829,0.229468,0.911147,0.482278,0.110895,1.337793,0.950644,0.087267,1.531888,0.742394,0.129601,1.718852,0.70912,0.177846,1.081623,0.508055,0.113973,1.345547,0.551587,0.091703,0.717843,0.655231
19,0.158333,0.071425,0.1818,0.858019,0.079887,0.166496,0.645793,0.053913,1.168023,0.708629,0.08758,0.728365,0.86873,0.073346,0.363545,0.871837,0.052466,1.339355,0.726712,0.0734,0.354517,0.64143,0.178282,1.053522,0.992289,0.237466,0.890051,1.00482,0.229481,0.911136,0.482266,0.110942,1.337819,0.950648,0.087306,1.53188,0.74238,0.12966,1.718862,0.709079,0.177858,1.081614,0.508056,0.113989,1.345537,0.551576,0.091728,0.717839,0.65522
20,0.166667,0.071425,0.181806,0.858019,0.079886,0.166453,0.645807,0.053916,1.168026,0.708631,0.087601,0.728375,0.868716,0.073359,0.363555,0.87183,0.052485,1.339356,0.726726,0.073396,0.354517,0.641432,0.178321,1.053525,0.992277,0.237509,0.89006,1.004813,0.229502,0.911123,0.482263,0.110983,1.337834,0.950634,0.087342,1.531892,0.742359,0.129723,1.718872,0.708979,0.177856,1.08159,0.508033,0.113988,1.34553,0.551535,0.091754,0.717832,0.655226
