,,R_Foot,R_Foot,R_Foot,L_Foot,L_Foot,L_Foot,Lower_Trunk,Lower_Trunk,Lower_Trunk,R_Thigh,R_Thigh,R_Thigh,R_Shank,R_Shank,R_Shank,Mid_Trunk,Mid_Trunk,Mid_Trunk,L_Shank,L_Shank,L_Shank,R_Forearm,R_Forearm,R_Forearm,R_Hand,R_Hand,R_Hand,L_Hand,L_Hand,L_Hand,R_Arm,R_Arm,R_Arm,Upper_Trunk,Upper_Trunk,Upper_Trunk,Head,Head,Head,L_Forearm,L_Forearm,L_Forearm,L_Arm,L_Arm,L_Arm,L_Thigh,L_Thigh,L_Thigh
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
365,3.041667,0.07149,0.181833,0.857989,0.079894,0.166448,0.645779,0.051789,1.16781,0.70603,0.086703,0.72791,0.866917,0.073338,0.363486,0.870955,0.050187,1.33911,0.723861,0.072752,0.354309,0.640885,0.177468,1.052642,0.988647,0.23687,0.889113,1.000293,0.227652,0.910977,0.479987,0.10963,1.337037,0.948552,0.085237,1.531674,0.74002,0.118927,1.719019,0.730649,0.176284,1.081461,0.505561,0.112613,1.345574,0.548892,0.09034,0.717817,0.653525
366,3.05,0.071499,0.181815,0.857996,0.0799,0.166461,0.645763,0.051785,1.167804,0.705949,0.086641,0.727908,0.866872,0.073313,0.363475,0.870934,0.05018,1.339112,0.723825,0.072711,0.354307,0.640885,0.177445,1.05265,0.98866,0.236874,0.88909,1.000229,0.227713,0.91097,0.479944,0.109614,1.337007,0.948503,0.08523,1.531675,0.740006,0.118947,1.719027,0.730631,0.17631,1.081456,0.505498,0.112623,1.345549,0.548861,0.090296,0.717822,0.65346
367,3.058333,0.071499,0.181809,0.857979,0.079897,0.166449,0.645776,0.051786,1.167814,0.705861,0.086591,0.727904,0.86683,0.073275,0.363465,0.870911,0.050176,1.339122,0.723777,0.072681,0.354296,0.640876,0.177448,1.052621,0.98859,0.236887,0.889068,1.000158,0.227759,0.910986,0.479895,0.109597,1.33699,0.948465,0.085229,1.531668,0.739944,0.118958,1.719025,0.730604,0.176338,1.081471,0.505439,0.11266,1.34551,0.548863,0.090261,0.717833,0.65341
368,3.066667,0.071484,0.181807,0.857988,0.0799,0.166452,0.645776,0.05178,1.167808,0.705769,0.086542,0.727893,0.866802,0.073248,0.363463,0.870894,0.050178,1.339134,0.723703,0.072653,0.354281,0.640833,0.177414,1.05263,0.988606,0.236896,0.889043,1.000093,0.227812,0.910977,0.479841,0.109591,1.33697,0.948432,0.08523,1.53168,0.73988,0.11898,1.719026,0.730579,0.176383,1.081468,0.505387,0.112668,1.345502,0.548822,0.090218,0.717843,0.653335
369,3.075,0.071491,0.181803,0.857979,0.079907,0.166463,0.645772,0.051786,1.167813,0.70568,0.0865,0.727894,0.866766,0.073223,0.363464,0.870868,0.05018,1.339138,0.723641,0.072631,0.354278,0.640792,0.177405,1.052611,0.988552,0.236895,0.889016,1.000016,0.227865,0.910998,0.479789,0.10958,1.336928,0.94836,0.08523,1.53168,0.739844,0.119007,1.719029,0.73056,0.176404,1.081499,0.505298,0.112702,1.345488,0.548778,0.090189,0.717817,0.653272
370,3.083333,0.071483,0.181804,0.857976,0.079915,0.166441,0.645783,0.051796,1.167814,0.70561,0.086466,0.727898,0.866731,0.073203,0.363463,0.870844,0.050172,1.339148,0.723577,0.072613,0.354274,0.640741,0.177396,1.05259,0.988508,0.236893,0.889008,0.99997,0.227909,0.911019,0.479712,0.109569,1.336906,0.948317,0.085232,1.531684,0.739806,0.119028,1.719034,0.730519,0.17643,1.081524,0.505212,0.112719,1.345491,0.548727,0.090148,0.717815,0.653206
371,3.091667,0.071476,0.181797,0.857977,0.079921,0.166469,0.645778,0.051791,1.167822,0.70552,0.086424,0.727894,0.8667,0.073172,0.363456,0.870829,0.050164,1.339163,0.723526,0.072588,0.35426,0.640704,0.177384,1.052574,0.98845,0.236528,0.889124,1.000517,0.227927,0.911031,0.479632,0.10956,1.336885,0.948283,0.085241,1.531691,0.739759,0.11905,1.719038,0.730498,0.176462,1.081536,0.505161,0.112745,1.345481,0.548683,0.090103,0.717799,0.653137
372,3.1,0.071471,0.18181,0.857973,0.079932,0.166466,0.645784,0.051783,1.167833,0.705456,0.086378,0.727898,0.866669,0.073126,0.363454,0.870801,0.050156,1.339173,0.723452,0.072579,0.354241,0.640669,0.177388,1.052533,0.988336,0.2365,0.88912,1.000487,0.227978,0.911042,0.479564,0.109556,1.336864,0.948197,0.085254,1.531716,0.739715,0.11908,1.719042,0.730491,0.176484,1.08156,0.505076,0.112748,1.34549,0.548601,0.090069,0.717796,0.653067
373,3.108333,0.071466,0.18181,0.857966,0.07992,0.166466,0.645786,0.051766,1.167845,0.705373,0.086327,0.727896,0.86664,0.07309,0.363452,0.870773,0.050147,1.339197,0.723417,0.072562,0.354238,0.640645,0.177348,1.052533,0.988307,0.23647,0.889108,1.00042,0.227997,0.911068,0.479487,0.109555,1.336857,0.948152,0.085275,1.531726,0.739693,0.119099,1.719049,0.730457,0.176502,1.081579,0.505003,0.112795,1.345475,0.548595,0.090021,0.717806,0.652997
374,3.116667,0.07146,0.181808,0.857971,0.079938,0.166478,0.645794,0.051734,1.167864,0.705306,0.086266,0.727878,0.866607,0.073049,0.363444,0.870747,0.050141,1.339215,0.723347,0.072538,0.354229,0.640614,0.177337,1.052518,0.988239,0.236429,0.889099,1.000364,0.228025,0.911086,0.479426,0.109553,1.336855,0.948088,0.085288,1.531751,0.739649,0.119131,1.719047,0.730467,0.176519,1.081605,0.504933,0.112812,1.345491,0.548541,0.089975,0.717799,0.652932
375,3.125,0.071458,0.181804,0.857967,0.079935,0.166479,0.645792,0.051699,1.167898,0.705219,0.086187,0.727868,0.866581,0.073019,0.363442,0.87074,0.050122,1.339246,0.723315,0.072511,0.354223,0.640594,0.177322,1.052461,0.988116,0.236384,0.889082,1.000292,0.228048,0.911102,0.47937,0.109556,1.336851,0.948042,0.085326,1.531764,0.739577,0.119342,1.718974,0.728783,0.176542,1.081628,0.504873,0.112812,1.345531,0.548442,0.089917,0.71779,0.652865
376,3.133333,0.07146,0.181814,0.857976,0.079931,0.166485,0.645797,0.051667,1.167922,0.705133,0.086107,0.72786,0.866538,0.072996,0.36344,0.870709,0.050109,1.339277,0.723254,0.072482,0.35422,0.640555,0.177302,1.052428,0.98804,0.236334,0.889051,1.000205,0.228048,0.911133,0.479308,0.109536,1.336832,0.948002,0.085338,1.531787,0.739521,0.119202,1.719042,0.730502,0.176542,1.081658,0.504811,0.11284,1.345546,0.548398,0.089856,0.717777,0.652808
377,3.141667,0.071451,0.18182,0.857991,0.079926,0.166495,0.645791,0.051612,1.167963,0.70502,0.086024,0.727863,0.866481,0.072987,0.363425,0.870687,0.050104,1.339322,0.723197,0.072453,0.354219,0.64051,0.177264,1.052392,0.987959,0.23628,0.88901,1.00008,0.228031,0.911174,0.479235,0.109532,1.336813,0.947964,0.085362,1.531814,0.73947,0.119409,1.718971,0.728824,0.176554,1.081689,0.504745,0.112858,1.345592,0.548335,0.089809,0.717767,0.652746
378,3.15,0.07145,0.18181,0.857976,0.079929,0.166487,0.645791,0.051565,1.168009,0.704916,0.085948,0.727855,0.866418,0.072978,0.363424,0.870669,0.050091,1.339367,0.723122,0.072434,0.354215,0.640465,0.177247,1.052344,0.987813,0.236216,0.888991,1.000005,0.228009,0.911208,0.479157,0.109527,1.336782,0.94793,0.085395,1.531852,0.739403,0.119445,1.718968,0.728851,0.176551,1.081728,0.504673,0.112858,1.345635,0.548217,0.089754,0.717761,0.652676
379,3.158333,0.07146,0.181814,0.857984,0.07993,0.166489,0.645776,0.051505,1.168061,0.704805,0.085881,0.727857,0.866363,0.072958,0.363416,0.870651,0.050076,1.339413,0.723008,0.072422,0.354206,0.640416,0.177248,1.052278,0.987599,0.236156,0.888949,0.999873,0.227993,0.91123,0.479086,0.109522,1.336743,0.947861,0.085417,1.531882,0.739332,0.119488,1.718947,0.728828,0.176559,1.081743,0.504608,0.112868,1.345696,0.548108,0.089693,0.717751,0.652598
380,3.166667,0.071452,0.18181,0.857974,0.079929,0.166486,0.645768,0.051453,1.168088,0.704698,0.08581,0.72784,0.866297,0.072933,0.363415,0.870629,0.050064,1.339446,0.722915,0.072402,0.354212,0.640395,0.177206,1.052259,0.987496,0.236116,0.88891,0.999724,0.227962,0.911265,0.479003,0.109516,1.336713,0.947769,0.085433,1.531906,0.739266,0.119533,1.718943,0.728816,0.176559,1.08176,0.504531,0.112874,1.345742,0.548001,0.089643,0.717741,0.652523
381,3.175,0.071459,0.181811,0.857967,0.079931,0.166487,0.645758,0.051378,1.168122,0.704599,0.085744,0.72783,0.866228,0.072909,0.363411,0.870595,0.050026,1.339485,0.722798,0.072393,0.354205,0.640372,0.177163,1.052238,0.987379,0.236029,0.888887,0.999643,0.227935,0.911286,0.478926,0.109509,1.33671,0.947663,0.085454,1.53193,0.739185,0.119579,1.718945,0.728774,0.176551,1.081783,0.504432,0.112897,1.345793,0.547893,0.089572,0.717739,0.65246
382,3.183333,0.071451,0.181809,0.857966,0.079919,0.166481,0.645755,0.051302,1.168148,0.70451,0.085681,0.727814,0.866158,0.072883,0.363413,0.870552,0.049986,1.339502,0.722718,0.072362,0.354192,0.640361,0.177133,1.052204,0.987257,0.235943,0.888866,0.999555,0.227896,0.911313,0.478835,0.109508,1.336714,0.947552,0.085467,1.531955,0.739121,0.119625,1.71894,0.728706,0.17654,1.081795,0.504352,0.112895,1.345823,0.547754,0.089505,0.717726,0.652384
383,3.191667,0.071455,0.181804,0.857969,0.079905,0.166444,0.645762,0.051226,1.16818,0.70443,0.085624,0.727789,0.866083,0.072873,0.36341,0.870519,0.049959,1.339522,0.722619,0.07233,0.354181,0.64033,0.177084,1.052174,0.987151,0.23586,0.888848,0.999462,0.227851,0.911326,0.478732,0.109511,1.336737,0.947428,0.085473,1.531983,0.739061,0.119671,1.718959,0.728684,0.17653,1.081796,0.504271,0.112881,1.345853,0.547637,0.089421,0.717722,0.652318
384,3.2,0.071455,0.181802,0.857958,0.079911,0.166455,0.645746,0.051139,1.16822,0.704338,0.085563,0.72777,0.866014,0.072872,0.363388,0.870477,0.04992,1.339538,0.722567,0.072305,0.354169,0.640305,0.177045,1.052135,0.987041,0.235776,0.888813,0.999374,0.227818,0.91132,0.478643,0.109501,1.336757,0.947325,0.085488,1.532003,0.739004,0.119708,1.718989,0.728683,0.176513,1.081789,0.504202,0.112879,1.345867,0.547527,0.08934,0.717721,0.652252
385,3.208333,0.071461,0.181793,0.857946,0.079895,0.166462,0.645741,0.051068,1.168244,0.704258,0.085517,0.727736,0.865929,0.07288,0.363371,0.870423,0.049884,1.339561,0.722501,0.072266,0.354142,0.640263,0.176981,1.052105,0.986971,0.235699,0.888778,0.999267,0.227764,0.91132,0.478533,0.109491,1.336772,0.947253,0.085487,1.532012,0.738944,0.119745,1.719021,0.728657,0.17649,1.08178,0.504143,0.112842,1.345877,0.5474,0.089255,0.717725,0.652183
386,3.216667,0.071462,0.181795,0.857956,0.079877,0.166445,0.645743,0.050992,1.168262,0.704165,0.085478,0.727705,0.865854,0.072895,0.363353,0.870394,0.049855,1.339577,0.722445,0.072232,0.354126,0.640223,0.176908,1.05207,0.986873,0.235608,0.888745,0.999176,0.227715,0.911313,0.478423,0.109477,1.336763,0.947183,0.085476,1.532032,0.738899,0.119781,1.719064,0.72863,0.176449,1.081777,0.504073,0.112837,1.345864,0.547343,0.089163,0.717743,0.652114
387,3.225,0.071466,0.181793,0.857939,0.079871,0.166446,0.645737,0.050931,1.168249,0.704096,0.085443,0.72769,0.865773,0.072915,0.363324,0.870364,0.049826,1.339597,0.722395,0.07218,0.354086,0.640177,0.176847,1.052025,0.986744,0.235514,0.888694,0.999046,0.227666,0.911291,0.478303,0.109457,1.336736,0.947133,0.085472,1.532019,0.738799,0.119799,1.71909,0.728602,0.176417,1.081747,0.504006,0.1128,1.345849,0.547232,0.089071,0.717753,0.652035
388,3.233333,0.071467,0.181804,0.857931,0.079851,0.166416,0.645738,0.05085,1.16829,0.704014,0.085419,0.727664,0.865688,0.072932,0.363317,0.870327,0.049788,1.339614,0.722332,0.072118,0.354095,0.640142,0.176766,1.052018,0.986667,0.235731,0.888494,0.998342,0.227604,0.911277,0.4782,0.109431,1.336694,0.947078,0.085449,1.532023,0.738727,0.119824,1.719119,0.728571,0.176378,1.081728,0.503916,0.112784,1.345832,0.547173,0.088966,0.717767,0.651954
389,3.241667,0.071486,0.18181,0.857933,0.07985,0.166436,0.64572,0.050804,1.168264,0.703926,0.085404,0.72765,0.865615,0.072958,0.363295,0.870302,0.049766,1.339614,0.722249,0.072068,0.354079,0.640088,0.176706,1.051986,0.986544,0.235623,0.888449,0.998209,0.227552,0.911259,0.478087,0.109399,1.336642,0.947006,0.085431,1.532028,0.738669,0.119853,1.719148,0.728526,0.176336,1.081701,0.503816,0.112766,1.34579,0.547132,0.088876,0.71778,0.651866
390,3.25,0.071488,0.181818,0.857926,0.079839,0.166432,0.645715,0.050732,1.168274,0.703836,0.085394,0.727629,0.865534,0.073001,0.363273,0.870274,0.049733,1.339628,0.722179,0.072023,0.354061,0.640037,0.176637,1.051975,0.986435,0.235532,0.888389,0.998039,0.227479,0.911251,0.477971,0.109355,1.336623,0.946941,0.085403,1.532032,0.738587,0.119877,1.71918,0.728468,0.176282,1.081686,0.503704,0.112721,1.345769,0.547052,0.08878,0.7178,0.651783
391,3.258333,0.071489,0.181818,0.857911,0.079819,0.166403,0.645713,0.050682,1.168279,0.70375,0.085392,0.727617,0.86549,0.073033,0.363271,0.870254,0.049703,1.339625,0.722104,0.071988,0.35404,0.639969,0.176563,1.051959,0.986315,0.235425,0.888372,0.997914,0.227395,0.911249,0.477851,0.109306,1.336618,0.946882,0.085372,1.532039,0.738526,0.119902,1.719207,0.728432,0.17622,1.08168,0.503589,0.112674,1.345748,0.546996,0.088699,0.717819,0.651694
392,3.266667,0.071492,0.181829,0.857901,0.079814,0.166391,0.645698,0.05061,1.168288,0.703687,0.08537,0.7276,0.865454,0.073039,0.363259,0.870232,0.04966,1.339628,0.722033,0.071944,0.354032,0.639908,0.176457,1.051958,0.986246,0.235324,0.888314,0.997721,0.227318,0.911243,0.47775,0.109255,1.33661,0.946795,0.085325,1.532037,0.73847,0.119928,1.719236,0.728356,0.176152,1.081676,0.503494,0.112619,1.345746,0.54692,0.088626,0.717826,0.651603
393,3.275,0.071486,0.181832,0.857903,0.07981,0.166389,0.645701,0.050552,1.168286,0.703633,0.085348,0.727596,0.865426,0.073016,0.363264,0.870204,0.049617,1.33963,0.721975,0.071917,0.35402,0.639869,0.176355,1.051947,0.986175,0.235218,0.88828,0.997567,0.227227,0.911247,0.477651,0.109193,1.336599,0.946714,0.08529,1.53204,0.738411,0.11994,1.71927,0.728308,0.176081,1.081676,0.503421,0.112583,1.345706,0.546899,0.088543,0.717832,0.651516
394,3.283333,0.071484,0.181826,0.857895,0.079804,0.166413,0.645686,0.050477,1.168293,0.703577,0.085329,0.727592,0.865365,0.072974,0.363275,0.870188,0.049562,1.339645,0.721945,0.071889,0.354019,0.639834,0.176271,1.051924,0.986001,0.235099,0.888272,0.997433,0.227148,0.911234,0.477585,0.10913,1.336605,0.946638,0.085251,1.532046,0.738378,0.119959,1.719298,0.728255,0.176011,1.081679,0.503367,0.112497,1.345705,0.54683,0.08849,0.717829,0.65144
395,3.291667,0.071483,0.181838,0.857901,0.079785,0.166386,0.645689,0.050419,1.168295,0.703527,0.085318,0.727595,0.865329,0.072936,0.363278,0.870163,0.049515,1.339642,0.721887,0.071895,0.354008,0.639815,0.176184,1.05189,0.985811,0.235,0.888242,0.99726,0.227068,0.911218,0.477532,0.109064,1.336599,0.946533,0.085211,1.532053,0.738315,0.119973,1.719329,0.728181,0.175932,1.081679,0.503331,0.112436,1.345678,0.54681,0.088435,0.717823,0.651366
396,3.3,0.071485,0.181832,0.8579,0.079788,0.166377,0.645687,0.050356,1.168295,0.703477,0.085311,0.727596,0.865283,0.072922,0.363289,0.870126,0.049463,1.339647,0.72185,0.071898,0.354001,0.639786,0.176092,1.05188,0.98567,0.234883,0.88823,0.997105,0.226979,0.911212,0.477476,0.109004,1.336602,0.946447,0.085168,1.532078,0.738312,0.119994,1.719349,0.728162,0.175859,1.081692,0.503302,0.112349,1.345661,0.546749,0.088388,0.717822,0.651295
397,3.308333,0.071502,0.181835,0.857899,0.079783,0.166372,0.645676,0.050298,1.168294,0.703413,0.085327,0.727598,0.865217,0.072938,0.363298,0.870097,0.049419,1.339644,0.7218,0.071903,0.353988,0.639757,0.176015,1.051841,0.985473,0.234798,0.888224,0.996945,0.226874,0.911207,0.477415,0.108937,1.336608,0.946354,0.085129,1.532075,0.738269,0.119996,1.719378,0.72809,0.17578,1.081682,0.503283,0.112225,1.345667,0.546673,0.088374,0.717818,0.651239
398,3.316667,0.071499,0.181837,0.857904,0.079784,0.166368,0.645684,0.05023,1.168292,0.703351,0.085325,0.727619,0.865178,0.072961,0.363302,0.870091,0.049369,1.339646,0.721735,0.071905,0.353984,0.639732,0.175913,1.051826,0.985343,0.234722,0.888193,0.996778,0.226789,0.911193,0.477364,0.10887,1.33663,0.946292,0.085083,1.53209,0.738196,0.119994,1.7194,0.728062,0.175681,1.081675,0.503252,0.112119,1.345685,0.546598,0.088359,0.717804,0.65119
399,3.325,0.07151,0.18183,0.857901,0.079777,0.166365,0.645664,0.050172,1.168287,0.703292,0.08533,0.727612,0.865136,0.072986,0.363313,0.870077,0.049327,1.339645,0.721673,0.071899,0.353975,0.639698,0.175819,1.051818,0.985239,0.234423,0.888287,0.997012,0.226691,0.911187,0.47729,0.108811,1.336633,0.946204,0.085042,1.532087,0.738167,0.119984,1.719427,0.728022,0.175557,1.081693,0.503194,0.11202,1.345668,0.546567,0.088352,0.717789,0.651154
400,3.333333,0.071502,0.181826,0.857887,0.079772,0.166359,0.645661,0.050104,1.168291,0.703198,0.085335,0.727615,0.865094,0.07298,0.363323,0.870055,0.049279,1.339643,0.721605,0.0719,0.353968,0.639649,0.175729,1.051813,0.985124,0.234339,0.888255,0.996798,0.226575,0.911184,0.477212,0.108749,1.336629,0.946126,0.084997,1.532089,0.738107,0.119971,1.719442,0.727951,0.175429,1.081698,0.503125,0.111865,1.345693,0.54644,0.088336,0.717794,0.651097
401,3.341667,0.071507,0.181829,0.857874,0.079773,0.166354,0.645646,0.050044,1.168295,0.703125,0.085332,0.727614,0.865054,0.072976,0.363331,0.870036,0.049226,1.339648,0.72153,0.071891,0.353968,0.639621,0.175631,1.051822,0.98504,0.234228,0.888214,0.996597,0.226444,0.911191,0.477115,0.10869,1.336624,0.946045,0.084966,1.532079,0.738022,0.119956,1.719459,0.727891,0.175284,1.081707,0.50304,0.111746,1.345706,0.546367,0.088323,0.717795,0.651055
402,3.35,0.071507,0.181841,0.857878,0.079762,0.166343,0.645633,0.04998,1.16829,0.703039,0.08534,0.727591,0.865004,0.072989,0.363329,0.869986,0.049185,1.339639,0.721473,0.071875,0.353949,0.639589,0.175548,1.051809,0.984913,0.234149,0.888177,0.996383,0.226305,0.911174,0.477051,0.108645,1.336617,0.945969,0.084913,1.532081,0.737979,0.119931,1.71947,0.727843,0.175114,1.081709,0.502945,0.111634,1.345709,0.546343,0.0883,0.717798,0.651005
403,3.358333,0.071516,0.181847,0.857873,0.079756,0.166333,0.645629,0.049918,1.168285,0.702964,0.085352,0.727577,0.864944,0.073029,0.363327,0.869943,0.049131,1.339623,0.721386,0.071855,0.353939,0.639555,0.175454,1.051826,0.984859,0.234025,0.888143,0.996245,0.226154,0.911165,0.476987,0.108587,1.336612,0.945885,0.084864,1.532075,0.737907,0.1199,1.719464,0.727791,0.174963,1.081704,0.502871,0.111519,1.345726,0.546258,0.088284,0.717789,0.650968
404,3.366667,0.071516,0.181841,0.857871,0.079739,0.166338,0.645614,0.049855,1.168272,0.702901,0.085366,0.727562,0.864885,0.073075,0.363331,0.869908,0.04907,1.339608,0.721319,0.07184,0.353921,0.639515,0.175363,1.051822,0.984777,0.233914,0.888088,0.996089,0.225982,0.911141,0.476926,0.108553,1.336604,0.945784,0.084803,1.532064,0.737834,0.119871,1.719478,0.727745,0.174791,1.081697,0.502812,0.111401,1.345731,0.546192,0.088264,0.717779,0.650931
405,3.375,0.071511,0.181849,0.857885,0.079735,0.166325,0.645618,0.049795,1.168258,0.702853,0.085386,0.727558,0.864826,0.073119,0.363333,0.869885,0.049013,1.3396,0.721271,0.071829,0.353896,0.639483,0.175287,1.051798,0.984644,0.233747,0.888055,0.996035,0.225808,0.911109,0.47687,0.108518,1.336581,0.945678,0.084758,1.532057,0.737769,0.119825,1.719488,0.727716,0.174621,1.081695,0.50276,0.111318,1.345717,0.546153,0.088219,0.717779,0.65088
406,3.383333,0.071512,0.181844,0.857877,0.079725,0.166331,0.645606,0.049741,1.16825,0.702795,0.085421,0.727545,0.864757,0.073151,0.363315,0.869861,0.048953,1.339597,0.721227,0.071811,0.353884,0.639448,0.175201,1.051776,0.98452,0.233598,0.888023,0.99593,0.225625,0.911082,0.47682,0.108495,1.336572,0.945589,0.084707,1.532049,0.737689,0.119775,1.719495,0.727644,0.174479,1.081676,0.502733,0.111229,1.345706,0.54611,0.088187,0.717777,0.65083
407,3.391667,0.071513,0.181859,0.857873,0.079718,0.166317,0.645603,0.049684,1.168237,0.702751,0.085451,0.727539,0.864702,0.073156,0.363325,0.869858,0.048897,1.339583,0.721154,0.071801,0.353873,0.639422,0.175138,1.051764,0.984413,0.233672,0.887907,0.99544,0.225451,0.911044,0.476786,0.108457,1.33658,0.945509,0.08465,1.532034,0.737616,0.119704,1.719507,0.727619,0.174347,1.081639,0.502716,0.111142,1.345686,0.546064,0.088149,0.717787,0.650764
408,3.4,0.071513,0.181851,0.857858,0.079723,0.166315,0.645606,0.049631,1.168228,0.702694,0.085475,0.727533,0.864655,0.073134,0.363337,0.86985,0.048842,1.339564,0.721105,0.0718,0.353871,0.639395,0.175046,1.051752,0.984309,0.233529,0.887889,0.995358,0.225251,0.910997,0.476766,0.108431,1.33657,0.945417,0.084592,1.532028,0.737547,0.119648,1.719502,0.727554,0.174212,1.081602,0.502699,0.111052,1.345672,0.546018,0.088125,0.717791,0.650714
409,3.408333,0.071508,0.181857,0.857854,0.079719,0.166317,0.645597,0.04959,1.168205,0.702656,0.085488,0.727533,0.864593,0.073116,0.36335,0.869826,0.048786,1.339548,0.721045,0.071803,0.353853,0.639369,0.174976,1.051717,0.98417,0.23341,0.887861,0.995255,0.22506,0.91097,0.476715,0.108407,1.336567,0.945321,0.084548,1.53201,0.737472,0.119568,1.719513,0.727476,0.174097,1.081559,0.502678,0.110956,1.345636,0.545926,0.088106,0.717782,0.650673
410,3.416667,0.071502,0.181849,0.857858,0.079717,0.16632,0.645591,0.049545,1.168184,0.702644,0.085498,0.727539,0.864552,0.073099,0.363357,0.869807,0.048742,1.339527,0.720992,0.071803,0.353842,0.639332,0.174929,1.051639,0.98393,0.23332,0.88783,0.995136,0.224876,0.910908,0.476676,0.10837,1.336552,0.945232,0.084491,1.531997,0.737388,0.11948,1.719517,0.72739,0.173971,1.081506,0.50264,0.110898,1.345593,0.545906,0.088079,0.717777,0.650631
411,3.425,0.071499,0.181856,0.857852,0.079704,0.166314,0.645581,0.049511,1.168161,0.702605,0.085504,0.727544,0.864504,0.073084,0.363368,0.869788,0.048705,1.339505,0.720944,0.071806,0.353825,0.639299,0.174857,1.051642,0.983837,0.233221,0.88782,0.995019,0.224707,0.910852,0.476612,0.10834,1.336554,0.945156,0.084445,1.531973,0.737289,0.11939,1.719513,0.72728,0.173827,1.08147,0.50258,0.110833,1.345568,0.54588,0.088056,0.717773,0.650607
412,3.433333,0.071496,0.181862,0.857853,0.079716,0.166313,0.645576,0.049474,1.168151,0.702586,0.085511,0.727544,0.864463,0.073093,0.363364,0.869761,0.048661,1.339497,0.72091,0.071809,0.35382,0.639275,0.174792,1.051622,0.983709,0.233165,0.8878,0.994895,0.224525,0.910796,0.476536,0.1083,1.33655,0.945081,0.084392,1.531961,0.737217,0.119293,1.719505,0.727204,0.173698,1.08143,0.502523,0.110764,1.345537,0.545837,0.088034,0.717772,0.650567
413,3.441667,0.071508,0.181852,0.857857,0.079714,0.166306,0.645578,0.049435,1.168136,0.702561,0.085526,0.727541,0.86445,0.073106,0.363381,0.869771,0.048623,1.339489,0.720875,0.071807,0.353808,0.639242,0.17476,1.051594,0.983543,0.233105,0.887806,0.994779,0.224339,0.910753,0.476455,0.10827,1.336549,0.944994,0.084347,1.531951,0.737151,0.119188,1.719503,0.727099,0.173565,1.081399,0.502473,0.110693,1.345518,0.545827,0.088021,0.717771,0.650551
414,3.45,0.071505,0.181855,0.857854,0.079724,0.1663,0.645572,0.049391,1.168129,0.702541,0.085525,0.72754,0.864446,0.073129,0.363387,0.869788,0.048596,1.339477,0.720849,0.071811,0.3538,0.639239,0.174718,1.051609,0.983438,0.23307,0.887798,0.994651,0.224167,0.910725,0.476379,0.108234,1.336566,0.944929,0.084286,1.531941,0.737095,0.119087,1.719476,0.727026,0.17342,1.081387,0.502425,0.110613,1.345506,0.545786,0.088019,0.717778,0.650537
415,3.458333,0.071516,0.181856,0.857857,0.079717,0.166295,0.645579,0.049365,1.168117,0.702517,0.085533,0.727529,0.864445,0.073152,0.363387,0.869778,0.048558,1.339472,0.720802,0.071804,0.353798,0.63924,0.174687,1.05162,0.983341,0.233029,0.887829,0.994535,0.224012,0.910692,0.476342,0.108189,1.336575,0.94487,0.084237,1.531928,0.737042,0.118987,1.719446,0.726955,0.173285,1.08137,0.502369,0.110527,1.345486,0.545765,0.088007,0.717795,0.650533
416,3.466667,0.071513,0.181855,0.857862,0.079725,0.166287,0.645574,0.049329,1.168094,0.702484,0.085527,0.727526,0.864444,0.07317,0.363379,0.869766,0.048518,1.339447,0.720757,0.071802,0.35379,0.639261,0.174668,1.051616,0.983196,0.233015,0.887843,0.994392,0.223872,0.910652,0.476279,0.108146,1.336587,0.944788,0.084193,1.531921,0.73698,0.118894,1.719408,0.726923,0.173139,1.081354,0.502327,0.110472,1.34545,0.5458,0.08802,0.717776,0.650549
417,3.475,0.071518,0.18185,0.857853,0.079715,0.1663,0.645573,0.049299,1.168082,0.702445,0.085523,0.727519,0.864426,0.073183,0.363379,0.869761,0.048478,1.339417,0.720714,0.071804,0.353777,0.639264,0.17463,1.051667,0.983133,0.233012,0.887863,0.994257,0.223731,0.91063,0.476223,0.108112,1.336616,0.944717,0.084138,1.531906,0.736918,0.118784,1.719362,0.726802,0.172994,1.081344,0.502273,0.110379,1.345443,0.545757,0.088018,0.717768,0.65054
418,3.483333,0.071524,0.181852,0.857833,0.079719,0.166296,0.645576,0.049285,1.16806,0.702417,0.085522,0.727517,0.864413,0.073198,0.363373,0.869749,0.048439,1.339401,0.72068,0.071804,0.353776,0.639264,0.174627,1.051666,0.983019,0.233024,0.887883,0.99413,0.223582,0.910602,0.476157,0.108077,1.336625,0.94464,0.084088,1.531891,0.736859,0.118692,1.719319,0.726781,0.172841,1.081337,0.502221,0.110292,1.345412,0.545765,0.088027,0.717759,0.650546
