2039709 15.0348 12.8799 20.3852 19.9522 -0.947918 2.73017 68.2521
2039719 15.0348 12.8799 20.3852 19.9522 -0.947918 2.73017 68.2521
2039729 14.922 12.8617 20.3202 19.9324 -0.899589 2.74904 68.0363
2039739 14.922 12.7432 20.5428 20.0017 -0.996898 2.83231 68.2097
2039749 14.922 12.7432 20.5428 20.0017 -0.996898 2.83231 68.2097
2039759 14.8562 12.7249 20.6448 19.9819 -1.02414 2.86894 68.2079
2039782 14.8092 12.7523 20.6819 19.9522 -1.02156 2.87541 68.1956
2039792 14.7434 12.6611 20.7098 19.9126 -1.05819 2.91455 68.0268
2039802 14.7434 12.6611 20.7098 19.9126 -1.05819 2.91455 68.0268
2039811 14.6211 12.6247 20.8582 20.1008 -1.00939 3.01588 68.2048
2039822 14.6211 12.6247 20.8582 20.1008 -1.00939 3.01588 68.2048
2039828 14.5177 12.6156 20.9694 20.1305 -1.0043 3.07037 68.2332
2039844 14.4707 12.5244 21.0807 20.2791 -1.00501 3.15225 68.355
2039859 14.4143 12.5244 21.0807 20.3089 -0.973886 3.17239 68.3283
2039869 14.3296 12.5426 21.1828 20.3584 -0.954267 3.21623 68.4134
2039879 14.3296 12.5426 21.1828 20.3584 -0.954267 3.21623 68.4134
2039890 14.3296 12.4788 21.1086 20.3485 -0.95616 3.21874 68.2655
2039912 14.2168 12.4971 21.0807 20.3287 -0.907117 3.2358 68.1233
2039944 14.1698 12.5062 21.0993 20.3881 -0.871001 3.2594 68.1634
2039950 14.1792 12.4332 21.09 20.398 -0.894986 3.27654 68.1005
2039964 14.1886 12.4332 21.1642 20.4773 -0.894444 3.30037 68.2633
2039971 14.2168 12.4332 21.0993 20.5862 -0.8402 3.30036 68.3356
2039982 14.198 12.4515 21.0622 20.5862 -0.813527 3.29416 68.2979
2040011 14.1322 12.3877 21.0158 20.5763 -0.801623 3.31931 68.112
2040016 14.1322 12.3877 21.0158 20.5763 -0.801623 3.31931 68.112
2040024 14.1886 12.415 21.0436 20.6952 -0.776243 3.32193 68.3425
2040034 14.198 12.4697 20.9787 20.7448 -0.717297 3.30213 68.3912
2040044 14.198 12.4697 20.9787 20.7448 -0.717297 3.30213 68.3912
2040054 14.245 12.415 20.886 20.7051 -0.736567 3.2815 68.2511
